NAME,B19013_001E,B01003_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_012E,zip code tabulation area
ZCTA5 00601,17526,16834,8337,309,419,523,8497,284,302,661,71,17,0,20,16726,00601
ZCTA5 00602,20260,37642,18405,603,801,1039,19237,591,663,1124,1646,1,47,18,35608,00602
ZCTA5 00603,17703,49075,23813,827,1135,1394,25262,832,952,1465,684,30,0,28,48141,00603
ZCTA5 00606,19603,5590,2723,98,98,131,2867,106,142,167,38,0,0,0,5552,00606
ZCTA5 00610,22796,25542,12317,380,669,605,13225,382,625,679,749,122,0,0,24609,00610
ZCTA5 00611,22525,1315,667,35,52,0,648,42,44,37,57,0,0,0,1258,00611
ZCTA5 00612,22305,63312,29745,1211,1330,2104,33567,1207,1659,1548,182,65,0,2,62913,00612
ZCTA5 00616,23652,9625,4515,90,114,253,5110,152,247,256,24,0,0,0,9601,00616
ZCTA5 00617,20328,22573,10709,417,552,665,11864,380,490,672,103,0,0,0,22372,00617
ZCTA5 00622,22818,7577,3334,89,24,234,4243,146,148,123,105,0,0,0,7472,00622
ZCTA5 00623,23132,39406,18869,591,732,1333,20537,511,963,1092,143,25,0,89,39059,00623
ZCTA5 00624,20101,21648,10612,633,711,614,11036,505,633,631,82,64,0,0,21502,00624
ZCTA5 00627,23263,32733,15525,575,655,915,17208,552,880,780,210,2,0,0,32459,00627
ZCTA5 00631,15658,1431,616,0,37,0,815,26,35,100,0,0,0,0,1431,00631
ZCTA5 00636,-666666666,1057,576,0,34,68,481,68,32,0,0,0,0,0,1057,00636
ZCTA5 00637,20568,22882,10634,211,577,686,12248,607,503,722,195,1,0,11,22660,00637
ZCTA5 00638,19796,17605,8553,303,371,585,9052,321,486,485,126,0,0,0,17479,00638
ZCTA5 00641,17673,24299,11497,461,194,1012,12802,390,688,604,313,0,0,0,23859,00641
ZCTA5 00646,31330,35926,17389,663,996,1011,18537,633,638,1444,906,18,0,0,34988,00646
ZCTA5 00647,17143,4702,2285,116,42,358,2417,215,55,221,5,0,0,4,4651,00647
ZCTA5 00650,20363,13767,6578,159,281,543,7189,299,407,326,39,0,0,0,13728,00650
ZCTA5 00652,26148,3924,1799,40,55,133,2125,24,91,119,90,0,0,0,3834,00652
ZCTA5 00653,13777,8980,4460,139,115,259,4520,45,61,391,24,0,0,0,8898,00653
ZCTA5 00656,21456,18121,8610,299,431,482,9511,330,343,675,37,0,0,18,18065,00656
ZCTA5 00659,23899,37066,17719,565,830,1023,19347,554,811,901,104,33,0,0,36889,00659
ZCTA5 00660,22556,15483,7162,270,312,369,8321,129,293,384,120,62,0,0,15270,00660
ZCTA5 00662,20283,40480,19481,652,1006,916,20999,653,760,1048,363,70,39,35,39693,00662
ZCTA5 00664,17966,14967,7355,198,212,735,7612,414,351,519,251,0,0,0,14716,00664
